epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6275.46,0.8793,0.70482,1.19095,0.88725,0.87221,0.90818,0.74515,0.71989,0.50819,1.08547,0.005842,0.005842,0.005842
44,6421.07,0.87596,0.70089,1.19099,0.87984,0.87861,0.90735,0.74408,0.72084,0.51288,1.08754,0.005743,0.005743,0.005743
45,6566.31,0.8712,0.69188,1.1865,0.89478,0.87064,0.90917,0.7449,0.7132,0.51325,1.07746,0.005644,0.005644,0.005644
46,6711.63,0.8673,0.68473,1.17701,0.8861,0.88251,0.90857,0.74981,0.70887,0.50267,1.07625,0.005545,0.005545,0.005545
47,6857.06,0.8664,0.68397,1.17936,0.89582,0.87205,0.91084,0.7498,0.7039,0.49921,1.06594,0.005446,0.005446,0.005446
48,7002.6,0.8618,0.67767,1.17696,0.89219,0.87878,0.91217,0.74967,0.69854,0.497,1.06311,0.005347,0.005347,0.005347
49,7148.04,0.85209,0.66568,1.1714,0.89339,0.87828,0.91079,0.74981,0.70506,0.50632,1.06909,0.005248,0.005248,0.005248
50,7293.43,0.84858,0.65929,1.17019,0.88681,0.87959,0.9095,0.74855,0.70126,0.50344,1.06763,0.005149,0.005149,0.005149
51,7438.92,0.84365,0.65068,1.16485,0.87285,0.89025,0.90893,0.7491,0.70411,0.50178,1.0693,0.00505,0.00505,0.00505
52,7584.21,0.84349,0.65346,1.16744,0.88667,0.87901,0.90965,0.74957,0.70068,0.50207,1.06826,0.004951,0.004951,0.004951
53,7729.65,0.83734,0.64442,1.16123,0.8922,0.87289,0.91142,0.75291,0.6965,0.50081,1.06551,0.004852,0.004852,0.004852
54,7875.17,0.8301,0.64196,1.1574,0.87871,0.88724,0.91073,0.75205,0.69882,0.50131,1.06697,0.004753,0.004753,0.004753
55,8020.43,0.82902,0.63002,1.15673,0.88407,0.8788,0.91148,0.754,0.70055,0.4975,1.06775,0.004654,0.004654,0.004654
56,8165.97,0.82428,0.62509,1.15224,0.8922,0.87619,0.91192,0.75375,0.70047,0.48763,1.06837,0.004555,0.004555,0.004555
57,8311.29,0.81918,0.62443,1.14921,0.88374,0.88251,0.91202,0.75509,0.69858,0.48762,1.06569,0.004456,0.004456,0.004456
58,8456.83,0.81562,0.61485,1.14899,0.8815,0.88904,0.91126,0.75526,0.69806,0.48664,1.06521,0.004357,0.004357,0.004357
59,8602.46,0.81361,0.61744,1.14711,0.89702,0.8751,0.91174,0.75603,0.69948,0.48829,1.06533,0.004258,0.004258,0.004258
60,8747.83,0.81557,0.61139,1.14703,0.8979,0.8742,0.91268,0.75828,0.69632,0.48816,1.06121,0.004159,0.004159,0.004159
61,8893.34,0.81282,0.6044,1.14476,0.90073,0.87093,0.91188,0.75705,0.69533,0.49014,1.05819,0.00406,0.00406,0.00406
62,9038.92,0.80332,0.59504,1.14243,0.90911,0.86502,0.91314,0.75839,0.69511,0.48832,1.05722,0.003961,0.003961,0.003961
63,9184.55,0.79596,0.59659,1.13898,0.90415,0.86749,0.91392,0.75832,0.69673,0.48721,1.05848,0.003862,0.003862,0.003862
64,9330.03,0.79511,0.58607,1.13561,0.90912,0.86509,0.91419,0.75901,0.69482,0.48217,1.05773,0.003763,0.003763,0.003763
65,9475.53,0.78417,0.58,1.1306,0.89897,0.87175,0.91386,0.75932,0.69464,0.48056,1.05874,0.003664,0.003664,0.003664
66,9621.14,0.78136,0.5737,1.12785,0.89811,0.87601,0.91383,0.75909,0.69302,0.48149,1.05718,0.003565,0.003565,0.003565
67,9766.71,0.78308,0.57647,1.13112,0.8923,0.88169,0.91401,0.75982,0.69287,0.48017,1.05788,0.003466,0.003466,0.003466
